age,mig
0,"21,158"
5,"30,877"
10,"24,936"
15,"19,288"
20,"65,444"
25,"114,617"
30,"78,451"
35,"49,858"
40,"30,181"
45,"17,493"
50,"10,174"
55,"7,787"
60,"7,902"
65,"6,974"
70,"4,252"
75,"1,973"
80,847
85,242
90,45
95,7
100,0
